age,sex,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
34,Male,Caucasian,0,0,0,0,F,0
33,Male,African-American,0,0,0,5,F,1
37,Male,African-American,0,0,0,3,F,0
42,Male,Caucasian,0,0,0,1,F,1
41,Male,African-American,0,1,0,10,F,1
22,Male,African-American,0,0,0,0,F,1
33,Male,African-American,0,12,2,28,F,1
31,Male,African-American,0,0,0,1,M,0
30,Female,Other,0,0,0,1,F,0
31,Male,Caucasian,0,0,0,13,F,1
27,Male,African-American,0,0,0,3,F,1
56,Male,African-American,0,0,0,8,F,0
52,Male,Caucasian,0,0,0,3,M,0
33,Male,African-American,0,0,0,19,F,1
64,Female,Caucasian,0,0,0,2,M,0
22,Male,Caucasian,0,0,0,4,F,1
42,Male,Caucasian,0,0,0,6,F,0
25,Female,Caucasian,0,0,0,2,F,0
30,Male,Caucasian,0,0,0,1,M,0
28,Male,Caucasian,0,0,0,2,F,0
37,Female,Other,0,0,0,2,M,0
28,Male,Caucasian,0,0,0,0,M,1
24,Female,African-American,0,0,0,0,M,0
29,Female,Caucasian,0,1,0,10,F,1
44,Male,Caucasian,0,0,0,2,M,1
30,Female,Hispanic,0,0,0,4,F,1
32,Male,African-American,0,0,0,3,F,1
31,Male,Caucasian,0,0,0,2,M,1
31,Male,African-American,0,0,0,1,M,0
59,Male,Caucasian,0,0,0,1,F,1
45,Female,Caucasian,0,0,0,4,F,0
20,Female,African-American,1,0,0,1,F,0
43,Female,Caucasian,0,0,0,0,M,0
38,Male,African-American,1,1,0,9,F,1
32,Male,African-American,0,0,0,11,F,1
33,Male,African-American,0,0,0,8,M,1
31,Female,African-American,0,0,0,0,F,1
33,Female,African-American,0,0,0,7,F,1
27,Male,African-American,0,0,0,2,F,1
20,Female,African-American,0,0,0,0,F,0
26,Female,Caucasian,0,0,0,0,M,0
61,Female,African-American,0,0,0,1,F,1
52,Male,Other,0,0,0,13,F,1
63,Male,Hispanic,0,0,0,1,F,0
32,Female,African-American,0,0,0,4,F,1
29,Male,Hispanic,0,0,0,1,F,0
46,Female,Other,0,0,0,1,F,0
26,Female,African-American,0,0,0,2,M,1
55,Male,African-American,0,0,0,3,M,0
39,Male,Caucasian,1,0,0,1,M,0
30,Female,Caucasian,0,0,0,3,F,1
30,Male,African-American,0,0,0,1,F,0
48,Male,Caucasian,0,0,0,2,M,0
22,Male,African-American,0,0,0,1,F,0
46,Male,Caucasian,0,0,0,6,F,1
49,Female,Caucasian,0,0,0,6,F,0
31,Male,Caucasian,0,0,0,0,F,0
25,Male,African-American,0,0,0,1,M,1
23,Male,Hispanic,0,0,0,0,F,0
32,Female,African-American,0,0,0,5,F,0
52,Male,Hispanic,0,0,0,2,M,0
62,Male,African-American,0,0,0,8,F,0
37,Female,Caucasian,0,0,0,6,F,0
55,Male,Caucasian,0,0,0,1,F,0
31,Male,Hispanic,0,0,0,8,F,1
28,Male,African-American,0,0,0,6,M,1
54,Male,Hispanic,0,0,0,2,F,0
58,Male,Hispanic,0,0,0,0,F,0
78,Male,Caucasian,0,0,0,1,M,1
56,Male,Caucasian,0,0,0,0,F,0
24,Male,Other,0,0,0,0,F,0
38,Male,African-American,2,2,1,22,F,1
22,Male,African-American,0,0,0,1,F,1
47,Male,African-American,0,0,0,23,M,1
23,Male,African-American,0,0,0,0,M,1
57,Male,Hispanic,0,0,0,1,F,0
38,Female,Caucasian,0,0,0,2,F,1
66,Male,African-American,0,0,0,3,F,0
45,Male,Caucasian,0,0,0,8,M,1
52,Female,Other,0,0,0,0,M,1
32,Male,African-American,0,0,0,13,F,1
37,Male,African-American,0,0,0,2,M,1
39,Male,Caucasian,0,0,0,0,F,1
26,Male,African-American,0,0,0,9,F,1
45,Male,Caucasian,0,0,0,2,F,0
23,Male,African-American,0,0,0,0,F,1
34,Male,African-American,0,0,0,2,M,0
23,Female,African-American,0,0,0,1,M,0
36,Male,Other,0,0,0,2,M,1
50,Male,Caucasian,0,0,0,1,F,0
37,Female,Caucasian,0,0,0,0,M,0
44,Male,Caucasian,0,0,0,4,M,0
35,Female,African-American,0,1,0,23,F,1
24,Male,Other,0,0,0,5,F,1
26,Male,African-American,0,0,0,2,F,1
27,Male,African-American,0,0,0,0,M,0
28,Female,African-American,0,0,0,0,F,0
43,Male,Caucasian,0,0,0,11,F,1
28,Female,Caucasian,0,0,0,7,F,1
38,Male,African-American,0,0,0,2,F,0
27,Male,Caucasian,0,0,0,2,M,0
28,Female,African-American,0,0,0,1,F,0
56,Male,Caucasian,0,0,0,7,F,1
38,Male,African-American,0,0,0,15,F,0
28,Male,African-American,0,0,0,2,M,0
45,Male,African-American,0,0,0,3,F,0
28,Male,Hispanic,0,0,0,0,M,0
61,Male,Caucasian,0,0,0,1,F,0
51,Female,Caucasian,0,0,0,0,M,1
51,Male,Caucasian,0,0,0,0,M,0
36,Male,Other,0,0,0,1,M,1
48,Male,African-American,0,0,0,0,F,0
37,Male,Caucasian,0,0,0,4,F,1
30,Female,African-American,0,0,0,2,F,0
41,Female,African-American,0,0,0,5,M,0
27,Male,African-American,0,0,0,11,F,1
37,Male,African-American,0,0,0,0,M,0
33,Male,Other,0,0,0,4,F,1
54,Male,African-American,0,0,0,11,F,0
23,Male,African-American,0,0,0,2,F,0
26,Female,African-American,0,0,0,2,F,1
41,Male,African-American,0,0,0,0,M,0
52,Male,Caucasian,0,0,0,0,F,0
43,Male,Caucasian,0,0,0,13,F,1
52,Male,African-American,0,0,0,0,F,0
28,Male,Caucasian,0,0,0,1,F,0
30,Male,African-American,0,0,2,11,M,1
28,Male,Caucasian,0,0,0,1,F,0
22,Male,African-American,0,0,0,0,F,0
30,Male,African-American,0,0,0,4,F,0
25,Male,Hispanic,0,0,0,4,F,0
31,Male,Caucasian,0,0,0,0,F,1
37,Male,Caucasian,0,0,0,0,F,1
32,Male,African-American,0,1,0,14,F,0
26,Male,African-American,0,1,0,4,M,0
53,Male,Caucasian,0,0,0,1,M,0
28,Male,African-American,0,0,0,25,F,1
44,Male,Caucasian,0,0,0,8,M,1
25,Male,African-American,0,0,0,0,F,0
22,Male,Caucasian,0,0,1,1,M,1
37,Female,Other,0,0,0,0,M,0
40,Female,Other,0,0,0,3,F,0
36,Male,Caucasian,0,0,0,8,F,1
30,Male,Caucasian,0,0,0,4,F,0
22,Male,African-American,0,0,0,3,M,1
24,Female,Caucasian,0,0,0,1,M,1
27,Male,African-American,0,0,0,3,M,1
31,Female,Hispanic,0,0,0,0,M,0
23,Male,Hispanic,0,0,1,1,F,1
23,Female,Caucasian,0,0,4,5,F,1
24,Male,Hispanic,0,0,0,0,M,0
29,Male,African-American,0,0,0,1,M,0
20,Male,African-American,0,0,0,1,F,1
30,Male,African-American,0,0,0,2,F,1
39,Male,Other,0,0,0,0,F,0
27,Male,African-American,0,0,0,4,F,0
31,Male,Caucasian,0,0,0,2,M,0
37,Female,African-American,0,0,0,2,F,0
20,Male,African-American,0,0,0,0,F,0
22,Male,Hispanic,0,0,1,0,F,0
52,Female,African-American,0,0,0,0,F,0
23,Female,African-American,0,0,0,0,F,1
48,Female,African-American,0,0,0,0,F,0
66,Male,African-American,0,0,0,8,F,1
25,Male,Caucasian,0,0,0,0,F,0
27,Male,Caucasian,0,0,0,0,F,1
30,Male,African-American,0,0,0,11,F,1
22,Male,African-American,0,1,1,3,M,1
22,Female,Caucasian,0,0,0,1,F,0
35,Male,African-American,0,0,0,2,F,0
32,Male,Caucasian,0,0,0,2,F,0
41,Female,African-American,0,0,0,2,M,0
25,Female,Other,0,0,0,0,F,0
44,Male,African-American,0,0,0,24,M,0
52,Male,African-American,0,0,0,3,F,1
43,Male,African-American,0,0,0,0,F,0
37,Male,Caucasian,0,0,0,3,F,0
28,Male,African-American,0,0,0,3,M,1
70,Male,Caucasian,0,0,0,1,M,0
54,Male,Caucasian,0,0,0,6,F,1
46,Male,Caucasian,0,0,0,3,F,0
21,Male,African-American,0,0,0,0,M,1
26,Male,African-American,0,0,0,1,M,1
38,Male,Hispanic,0,0,0,3,F,1
34,Male,Caucasian,0,0,0,5,M,0
19,Male,African-American,0,0,0,1,F,1
34,Male,African-American,0,0,0,5,M,0
23,Male,Caucasian,0,0,0,0,F,1
34,Male,African-American,0,0,0,5,F,1
30,Male,African-American,0,0,0,2,F,0
39,Male,African-American,0,0,0,6,F,1
24,Male,Other,0,0,0,0,F,0
33,Male,Caucasian,0,0,0,1,M,1
58,Male,Caucasian,0,0,0,2,F,0
21,Female,African-American,0,0,0,0,M,0
21,Male,African-American,0,0,0,1,F,0
23,Male,African-American,0,0,1,4,M,1
62,Male,Caucasian,0,0,0,0,F,0
27,Male,African-American,1,0,1,4,M,1
37,Male,Caucasian,0,0,0,5,F,0
43,Male,Other,0,0,0,2,F,1
32,Female,African-American,0,0,0,5,F,0
23,Male,Hispanic,0,0,0,0,F,0
27,Male,African-American,0,0,0,0,M,0
44,Male,Caucasian,0,0,0,0,M,1
28,Male,Caucasian,0,0,0,3,M,1
42,Female,Caucasian,0,0,0,0,F,0
24,Male,Other,0,1,0,9,F,1
27,Male,African-American,0,0,0,0,F,0
20,Male,African-American,0,0,0,0,F,1
51,Female,Caucasian,0,0,0,0,M,0
56,Male,Caucasian,0,0,0,0,M,0
29,Male,African-American,0,0,0,7,F,0
20,Male,African-American,0,0,0,0,F,1
53,Male,Caucasian,0,0,0,6,F,0
27,Male,Caucasian,0,0,0,8,F,0
24,Male,African-American,0,1,0,2,F,1
53,Male,Caucasian,0,0,0,36,F,1
28,Male,Caucasian,0,0,0,2,M,1
45,Male,African-American,0,0,0,1,F,0
21,Male,Hispanic,0,1,0,3,F,0
36,Female,African-American,0,0,0,0,F,0
25,Female,Caucasian,0,0,0,2,M,1
23,Female,Hispanic,0,0,0,1,M,0
28,Male,Caucasian,0,0,0,1,F,0
21,Female,African-American,0,0,0,0,F,1
36,Male,Caucasian,0,0,0,0,M,0
24,Male,African-American,0,0,0,0,F,0
28,Male,African-American,0,0,0,3,F,1
30,Male,Other,0,0,0,1,F,1
29,Male,African-American,0,0,0,0,F,0
30,Female,Caucasian,0,0,0,0,M,0
51,Male,Hispanic,0,0,0,1,M,0
33,Male,Other,0,0,0,3,F,0
25,Female,African-American,0,0,0,2,F,0
32,Male,African-American,0,1,0,12,F,1
23,Male,African-American,0,0,1,1,F,0
47,Male,African-American,0,0,0,3,F,0
32,Female,Hispanic,0,0,0,1,F,1
37,Male,Caucasian,0,0,0,0,F,0
19,Male,African-American,0,2,0,2,F,1
27,Male,Hispanic,0,0,0,0,M,0
39,Male,Other,0,0,0,0,M,0
21,Female,Caucasian,0,0,2,0,F,0
69,Male,Caucasian,0,0,0,0,M,0
21,Male,Caucasian,0,0,0,2,F,0
26,Male,African-American,0,0,1,6,M,1
22,Male,Caucasian,0,0,0,0,F,0
23,Female,African-American,0,0,0,0,F,1
49,Male,African-American,0,0,0,3,F,0
29,Male,African-American,0,0,1,2,M,0
60,Female,Caucasian,0,0,0,0,M,0
26,Female,African-American,0,0,0,0,M,0
23,Male,African-American,2,0,0,3,F,1
34,Male,Hispanic,0,0,0,2,M,1
20,Female,Other,1,0,0,1,F,0
36,Male,Hispanic,0,0,0,1,F,0
30,Male,Caucasian,0,0,0,0,F,0
21,Male,African-American,0,1,0,1,F,0
22,Male,Caucasian,0,0,0,2,M,1
57,Male,African-American,0,0,0,18,F,0
21,Male,African-American,0,0,0,4,F,1
21,Male,African-American,0,0,0,0,F,1
34,Male,Caucasian,0,0,0,1,M,0
50,Female,Caucasian,0,0,0,1,M,1
40,Male,Caucasian,0,0,0,0,F,1
25,Male,African-American,0,0,0,7,F,1
53,Female,Caucasian,0,0,0,1,M,0
24,Female,African-American,0,0,0,0,F,0
42,Male,African-American,0,0,0,1,F,0
28,Male,African-American,0,0,0,1,M,0
24,Male,Caucasian,0,0,0,1,M,0
26,Male,African-American,1,1,0,6,F,1
22,Male,African-American,0,0,0,4,F,1
21,Male,Caucasian,0,0,0,3,M,0
37,Male,African-American,0,0,0,23,F,1
35,Male,African-American,0,0,0,2,F,0
53,Male,African-American,0,0,0,2,F,0
60,Male,African-American,0,0,0,1,F,0
29,Male,African-American,0,0,0,7,F,0
48,Male,Caucasian,1,0,0,23,F,1
52,Female,Caucasian,0,0,0,0,M,0
27,Male,African-American,0,0,0,12,F,1
28,Male,African-American,0,0,0,5,F,0
33,Male,Caucasian,0,0,0,3,M,0
28,Female,Hispanic,0,0,0,0,F,0
47,Male,Caucasian,0,0,0,5,F,1
36,Male,African-American,0,0,0,14,F,1
29,Male,African-American,1,0,0,2,F,0
22,Male,African-American,0,0,1,0,M,1
26,Male,African-American,0,0,2,6,F,0
25,Male,Caucasian,0,0,0,0,F,0
68,Male,Caucasian,0,0,0,2,F,0
56,Male,African-American,0,0,0,5,F,0
27,Male,African-American,0,0,0,9,F,1
52,Male,Caucasian,0,0,0,4,F,1
32,Male,African-American,0,0,0,3,F,0
60,Male,Other,0,0,0,4,F,0
23,Male,Hispanic,0,0,0,1,M,0
39,Female,Caucasian,0,0,0,0,M,0
56,Male,Caucasian,0,0,0,0,M,0
22,Female,African-American,0,0,0,0,F,0
27,Female,African-American,0,0,0,1,F,1
53,Male,African-American,0,0,0,11,F,0
25,Male,Caucasian,0,0,0,0,M,1
21,Male,Hispanic,0,0,0,0,M,0
22,Male,Caucasian,0,0,0,0,F,0
58,Female,Caucasian,0,0,0,2,M,0
31,Male,African-American,0,0,0,7,M,1
22,Male,Caucasian,0,0,0,1,F,1
28,Male,African-American,0,0,0,8,F,1
42,Male,Other,0,0,0,1,F,0
20,Male,African-American,0,0,0,0,F,1
29,Male,Caucasian,0,0,0,0,M,1
29,Male,African-American,0,0,0,8,F,0
58,Male,African-American,0,0,0,21,M,1
22,Male,African-American,0,0,0,3,F,0
48,Male,Hispanic,0,0,0,1,M,1
37,Male,Caucasian,0,0,0,0,F,0
57,Male,African-American,0,0,0,1,F,1
27,Male,Caucasian,0,0,0,3,M,0
26,Male,African-American,0,0,0,3,F,0
24,Male,Caucasian,0,1,1,3,F,1
33,Male,Caucasian,0,0,0,0,F,0
29,Male,African-American,0,0,0,2,F,0
24,Female,African-American,0,0,0,3,F,1
19,Male,Caucasian,0,0,1,1,F,1
36,Male,Caucasian,0,0,0,2,M,0
24,Female,Caucasian,0,0,0,0,F,0
34,Male,Caucasian,0,0,0,0,M,0
25,Male,Hispanic,0,0,0,2,F,1
20,Male,African-American,1,0,1,1,F,1
28,Male,Hispanic,0,0,0,2,M,1
24,Male,African-American,0,0,0,1,M,1
61,Male,Caucasian,0,0,0,4,F,0
50,Female,African-American,0,0,0,3,F,0
30,Male,African-American,0,0,0,1,M,0
38,Male,African-American,0,0,0,5,F,0
24,Male,Caucasian,0,0,0,0,M,0
45,Male,African-American,0,0,0,16,F,0
46,Female,African-American,0,0,0,2,F,1
41,Male,Caucasian,0,0,0,0,M,1
20,Male,Other,0,0,1,0,F,1
27,Male,African-American,0,0,0,13,M,1
51,Female,African-American,0,0,0,16,F,0
26,Male,African-American,0,0,0,1,M,1
29,Male,African-American,0,0,0,3,F,1
52,Male,Caucasian,0,0,0,6,F,1
28,Male,Caucasian,0,0,0,1,F,1
34,Female,Native American,0,0,0,4,F,1
55,Male,African-American,0,0,0,5,F,1
26,Male,African-American,1,1,0,10,F,1
28,Male,African-American,0,0,0,5,F,0
63,Male,Caucasian,0,0,0,2,F,0
42,Male,African-American,0,0,0,0,F,0
23,Male,African-American,1,2,2,6,F,0
54,Male,African-American,0,0,0,28,F,1
35,Male,African-American,0,0,1,8,F,1
24,Female,African-American,1,0,0,6,F,1
54,Male,African-American,0,0,0,2,M,0
58,Male,African-American,0,0,0,12,M,1
23,Male,Caucasian,0,0,1,1,M,1
35,Male,African-American,0,0,0,1,M,0
20,Male,African-American,0,0,0,1,F,1
51,Male,Caucasian,0,0,0,0,F,0
24,Male,Hispanic,0,0,0,0,F,0
37,Male,Caucasian,0,0,0,3,F,0
47,Male,Caucasian,0,0,0,3,F,0
34,Male,Caucasian,0,0,0,4,F,1
56,Male,Caucasian,0,0,0,0,F,0
34,Male,Hispanic,0,0,0,4,F,1
59,Male,Caucasian,0,0,0,1,F,1
35,Male,Asian,0,0,0,0,F,0
58,Male,Hispanic,0,0,0,1,F,0
29,Male,Hispanic,0,0,0,2,M,0
24,Female,Caucasian,0,0,1,6,F,1
21,Male,Caucasian,0,0,4,2,M,1
26,Male,African-American,0,0,0,2,M,0
50,Male,Asian,0,0,0,5,F,1
26,Male,African-American,0,0,0,1,F,0
30,Female,Caucasian,0,0,0,0,M,0
29,Male,Caucasian,0,0,0,6,F,1
29,Male,Caucasian,0,0,0,0,M,1
54,Male,African-American,0,0,0,0,M,0
29,Male,African-American,0,0,0,4,F,1
59,Female,Caucasian,0,0,0,0,M,0
38,Male,African-American,0,0,0,0,F,0
22,Female,Hispanic,0,0,0,2,F,1
29,Male,African-American,0,0,0,4,F,1
27,Male,Caucasian,0,0,0,1,M,1
26,Male,Hispanic,0,0,0,7,F,1
52,Male,Hispanic,0,0,0,20,F,0
66,Male,African-American,0,0,0,33,F,1
27,Male,Caucasian,0,0,0,2,F,0
51,Male,Caucasian,0,0,0,1,M,0
35,Male,Caucasian,0,0,0,1,F,0
26,Male,African-American,0,0,0,1,F,0
52,Male,Caucasian,0,0,0,4,M,0
35,Female,African-American,0,0,0,12,M,0
48,Male,Other,0,0,0,12,F,0
26,Female,African-American,0,0,0,0,M,0
48,Female,Caucasian,0,0,0,0,M,0
30,Male,Hispanic,0,0,0,7,M,0
28,Male,Other,0,0,0,2,M,0
33,Male,African-American,0,0,0,2,M,0
34,Female,African-American,0,0,0,6,F,0
25,Male,Other,0,0,0,0,M,0
59,Male,African-American,0,0,0,10,F,1
29,Male,African-American,0,0,0,5,F,1
24,Male,Caucasian,0,0,0,0,F,0
48,Male,Caucasian,0,0,0,1,F,1
55,Male,African-American,0,0,0,0,M,1
52,Male,African-American,0,0,0,4,M,0
20,Male,African-American,0,0,0,0,F,1
25,Male,Caucasian,0,0,0,4,F,1
24,Male,Caucasian,0,0,0,0,F,0
23,Male,Caucasian,0,0,0,0,M,0
27,Male,Caucasian,0,1,3,6,F,0
25,Male,African-American,0,1,0,1,M,1
31,Male,African-American,0,0,0,0,F,0
25,Male,African-American,0,1,0,6,F,1
32,Male,Caucasian,0,0,0,1,F,1
21,Male,Caucasian,0,0,0,0,F,1
37,Male,Other,0,0,0,1,F,0
25,Male,Caucasian,0,0,0,0,F,0
32,Male,Hispanic,1,1,0,20,F,0
35,Male,African-American,0,0,0,0,F,0
42,Male,African-American,0,0,0,14,F,1
24,Male,Caucasian,0,0,1,9,M,1
22,Male,Caucasian,1,0,4,6,F,1
21,Male,Hispanic,0,0,0,0,F,1
47,Male,Caucasian,0,0,0,1,M,0
27,Male,African-American,0,0,0,5,F,1
43,Male,Hispanic,0,0,0,2,M,1
46,Male,Caucasian,0,0,0,2,F,1
44,Male,African-American,0,0,0,1,M,0
27,Male,African-American,0,0,0,0,F,0
23,Male,Caucasian,0,0,0,2,F,0
50,Female,Hispanic,0,0,0,1,F,0
42,Male,African-American,0,0,0,8,F,0
58,Male,African-American,0,0,0,6,F,0
26,Male,African-American,0,0,1,3,F,0
48,Female,Other,0,0,0,0,F,0
39,Male,African-American,0,0,0,3,F,1
21,Male,African-American,0,2,0,3,F,1
63,Male,Caucasian,0,0,0,1,M,0
22,Male,African-American,0,1,0,3,F,1
50,Male,African-American,0,0,0,3,M,0
38,Male,African-American,0,0,0,0,F,0
41,Male,Caucasian,0,0,0,1,F,0
28,Male,African-American,8,0,1,16,F,1
30,Female,African-American,0,0,0,0,M,0
23,Male,African-American,0,0,0,1,F,0
25,Male,Caucasian,0,0,0,2,F,1
40,Male,Caucasian,0,0,0,5,F,0
24,Male,Hispanic,0,0,0,8,F,0
27,Male,African-American,0,0,0,5,M,1
44,Male,Caucasian,0,0,0,11,M,0
35,Female,African-American,0,0,0,6,F,1
42,Male,Caucasian,0,0,0,0,M,0
38,Male,African-American,0,0,0,15,F,0
26,Male,Hispanic,0,0,0,4,F,0
25,Female,African-American,0,0,0,0,M,0
24,Male,Caucasian,0,0,0,1,F,0
64,Male,Hispanic,0,0,0,1,F,0
49,Female,Caucasian,0,0,0,2,M,1
50,Male,Caucasian,0,0,0,5,F,1
28,Male,Caucasian,0,0,0,8,F,1
66,Male,Caucasian,0,0,0,0,M,1
46,Female,Caucasian,0,0,0,0,M,0
30,Male,African-American,0,0,1,5,F,1
22,Female,Caucasian,0,0,0,0,M,0
23,Male,Caucasian,0,0,0,1,M,0
30,Male,Other,0,0,0,0,M,1
24,Male,African-American,1,0,0,10,F,1
31,Male,Hispanic,0,0,0,0,M,0
31,Male,Other,0,0,0,1,F,0
21,Male,African-American,4,0,0,4,F,1
28,Male,African-American,0,0,0,4,F,0
25,Male,African-American,0,0,0,0,M,0
21,Female,Caucasian,0,0,0,0,F,0
27,Male,African-American,0,0,0,0,M,0
20,Male,Hispanic,0,0,0,0,M,1
32,Male,Hispanic,0,0,0,1,F,0
24,Female,Caucasian,0,0,1,0,F,0
20,Male,African-American,1,0,0,1,F,0
31,Male,African-American,0,0,0,3,M,1
27,Male,African-American,0,0,0,3,M,1
59,Male,African-American,0,0,0,17,F,1
40,Male,African-American,0,0,0,0,F,0
22,Male,African-American,0,0,0,11,F,1
38,Female,African-American,0,0,0,1,F,0
36,Male,Hispanic,0,0,0,1,M,1
30,Male,African-American,0,0,0,1,M,0
27,Male,Caucasian,0,0,0,6,F,1
43,Male,African-American,0,0,0,1,M,0
59,Female,Caucasian,0,0,0,0,M,0
37,Male,Caucasian,0,0,0,2,M,0
28,Male,African-American,0,0,0,5,M,1
38,Male,Caucasian,0,0,0,0,F,0
22,Male,African-American,0,0,1,0,F,1
43,Male,Hispanic,0,0,0,1,M,0
25,Male,African-American,0,0,0,4,F,1
51,Male,Caucasian,0,0,0,0,M,0
30,Male,Hispanic,0,0,0,6,F,1
29,Male,Caucasian,0,0,0,2,M,1
28,Male,African-American,0,0,0,10,F,0
26,Male,African-American,0,0,0,6,M,0
55,Male,African-American,0,0,0,9,M,1
23,Female,Caucasian,0,0,0,3,F,0
22,Female,African-American,0,0,0,0,M,0
19,Female,Caucasian,0,0,0,2,F,1
31,Male,African-American,0,0,0,1,M,0
29,Male,African-American,0,0,0,0,M,0
61,Male,African-American,0,0,0,15,F,1
24,Male,African-American,0,0,0,4,F,1
31,Male,Hispanic,0,0,0,0,M,0
20,Male,African-American,0,1,1,4,F,1
26,Male,Caucasian,0,0,0,3,F,1
27,Male,Caucasian,0,0,0,5,M,0
25,Male,Caucasian,0,0,0,1,F,0
23,Male,Caucasian,0,2,0,3,F,1
38,Male,African-American,0,0,0,0,F,0
27,Male,African-American,0,2,1,18,F,1
35,Female,Caucasian,0,0,0,0,F,1
